Epoch,Training Loss,Training Accuracy,Validation Accuracy
1,0.8761460299767403,0.6696480653315185,0.8683255572835666
2,0.2861952179411116,0.9023267872188736,0.8773976153447383
3,0.18548398198988086,0.9379739451681898,0.9481596682218766
4,0.11240122571536376,0.9616955084580984,0.8872472783825817
5,0.11273981228357804,0.9631213947760711,0.9460860549507517
6,0.06760188959400346,0.9791302093460367,0.9362363919129082
7,0.11242192981406005,0.9655842893252965,0.9603421461897356
8,0.09408626700917176,0.9690841921057748,0.968895800933126
9,0.030452686515227187,0.9906021129042711,0.9709694142042509
10,0.019945338048422717,0.9940372026702962,0.9650077760497667
11,0.040457373856918694,0.9872966491671528,0.963452566096423
12,0.04116902670273322,0.9874910882105127,0.9561949196474857
13,0.033201857333801564,0.9896947307019249,0.9657853810264385
14,0.032467227550599526,0.9896947307019249,0.9701918092275791
15,0.05162955123840144,0.9844448765312075,0.9717470191809228
16,0.06869297004814581,0.9787413312593168,0.9733022291342665
17,0.03358504452645272,0.990148421803098,0.9447900466562986
18,0.07642369128765365,0.9766025017823579,0.9670813893208916
19,0.013296216778757525,0.995722341046082,0.9631933644375325
20,0.0744051499183241,0.9766673147968112,0.972265422498704
21,0.012231134682009091,0.9963704711906151,0.9709694142042509
22,0.012242322786495605,0.9970834143496013,0.9733022291342665
23,0.049984435010811276,0.9851578196901938,0.9657853810264385
24,0.024980137043395526,0.9915743081210707,0.9657853810264385
25,0.013636948008355125,0.9960464061183486,0.9707102125453603
26,0.01796962477509926,0.994426080757016,0.973561430793157
27,0.030814159837305077,0.991639121135524,0.9587869362363919
28,0.05031547817087767,0.9853522587335537,0.9707102125453603
29,0.017285347817615,0.9952686499449089,0.9753758424053914
30,0.04160208924332393,0.9876855272538726,0.9771902540176257
