epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.881,1.01239,2.46501,1.15711,0.40371,0.56668,0.45942,0.33636,0.91377,1.35031,1.11547,0.000302712,0.000302712,0.000302712
2,323.208,0.87192,1.40084,1.04495,0.49527,0.57776,0.60851,0.48771,0.74496,1.05196,1.00874,0.000585724,0.000585724,0.000585724
3,465.319,0.83666,1.16857,1.04037,0.63379,0.58247,0.63764,0.52425,0.69926,0.98067,1.00133,0.000848737,0.000848737,0.000848737
4,605.984,0.80705,1.06001,1.03279,0.709,0.67009,0.75013,0.61044,0.72782,0.84309,1.02312,0.000819009,0.000819009,0.000819009
5,746.331,0.77873,0.96653,1.02454,0.76146,0.7128,0.79812,0.66616,0.6573,0.73932,0.9783,0.000789012,0.000789012,0.000789012
6,887.569,0.75324,0.88465,1.0171,0.76904,0.69809,0.79534,0.66876,0.6554,0.7306,0.97693,0.000759015,0.000759015,0.000759015
7,1027.1,0.74291,0.84025,1.01322,0.81958,0.76323,0.85815,0.71951,0.64296,0.6111,0.97136,0.000729018,0.000729018,0.000729018
8,1167.48,0.73166,0.78451,1.01281,0.85786,0.77975,0.89244,0.75348,0.62754,0.52344,0.96352,0.000699021,0.000699021,0.000699021
9,1308.73,0.71412,0.75105,1.00233,0.87732,0.83093,0.92235,0.78787,0.60515,0.47213,0.95021,0.000669024,0.000669024,0.000669024
10,1449.38,0.7036,0.7189,1.00087,0.90397,0.81946,0.92654,0.79489,0.59528,0.44986,0.94501,0.000639027,0.000639027,0.000639027
11,1588.83,0.68742,0.68325,0.99299,0.89889,0.85677,0.93845,0.81061,0.58523,0.41612,0.94321,0.00060903,0.00060903,0.00060903
12,1727.86,0.68168,0.65759,0.98903,0.91482,0.88459,0.95648,0.82311,0.58083,0.37936,0.93689,0.000579033,0.000579033,0.000579033
13,1867.53,0.67154,0.63378,0.98357,0.93078,0.88058,0.96034,0.83422,0.57177,0.35847,0.93357,0.000549036,0.000549036,0.000549036
14,2006.21,0.67195,0.62442,0.98526,0.96844,0.8628,0.96755,0.84056,0.55908,0.35406,0.92594,0.000519039,0.000519039,0.000519039
15,2146.52,0.6619,0.59746,0.98198,0.94215,0.91188,0.97479,0.85128,0.55982,0.32278,0.92621,0.000489042,0.000489042,0.000489042
16,2285.6,0.6551,0.57709,0.97757,0.94682,0.91845,0.97352,0.85042,0.54912,0.31402,0.9211,0.000459045,0.000459045,0.000459045
17,2426.21,0.65008,0.55864,0.97416,0.94165,0.94264,0.97948,0.85902,0.54743,0.30079,0.91914,0.000429048,0.000429048,0.000429048
18,2564.99,0.63796,0.54517,0.96922,0.97036,0.94144,0.98353,0.86431,0.53903,0.28299,0.91534,0.000399051,0.000399051,0.000399051
19,2705,0.63262,0.52546,0.96788,0.9672,0.95004,0.98638,0.86949,0.53405,0.27368,0.91412,0.000369054,0.000369054,0.000369054
20,2844,0.62479,0.50983,0.96512,0.97719,0.94636,0.9872,0.87186,0.52945,0.26208,0.91063,0.000339057,0.000339057,0.000339057
21,2982.38,0.56282,0.34124,0.94298,0.97952,0.94609,0.9892,0.87481,0.52561,0.25508,0.91051,0.00030906,0.00030906,0.00030906
22,3119.44,0.55076,0.31575,0.93778,0.97528,0.96358,0.99163,0.88096,0.51372,0.24093,0.90475,0.000279063,0.000279063,0.000279063
23,3256.93,0.54421,0.30147,0.9322,0.97686,0.97173,0.99067,0.88024,0.51115,0.23404,0.90338,0.000249066,0.000249066,0.000249066
24,3395.24,0.5347,0.29039,0.92522,0.98225,0.9754,0.993,0.8867,0.49924,0.22311,0.89758,0.000219069,0.000219069,0.000219069
25,3531.65,0.52652,0.27541,0.92347,0.97833,0.98425,0.99317,0.88844,0.49426,0.21591,0.89521,0.000189072,0.000189072,0.000189072
26,3668.51,0.52004,0.26299,0.9171,0.98716,0.9868,0.9938,0.89074,0.49203,0.2107,0.89495,0.000159075,0.000159075,0.000159075
27,3806.67,0.51204,0.25266,0.91509,0.98984,0.98487,0.99427,0.89569,0.48559,0.20439,0.89193,0.000129078,0.000129078,0.000129078
28,3944.15,0.50479,0.2394,0.91188,0.98825,0.99207,0.99399,0.89365,0.48358,0.20012,0.89057,9.9081e-05,9.9081e-05,9.9081e-05
29,4080.96,0.49648,0.23135,0.90961,0.98864,0.9917,0.99429,0.89738,0.47873,0.19763,0.88945,6.9084e-05,6.9084e-05,6.9084e-05
30,4218.62,0.48999,0.22483,0.9062,0.99406,0.98905,0.99423,0.89766,0.47578,0.19396,0.8875,3.9087e-05,3.9087e-05,3.9087e-05
