Epoch,Training Loss,Test Accuracy
1,0.8813082836908797,0.8413685847589425
2,0.2831530303817627,0.8517366511145671
3,0.178976573339276,0.9261275272161742
4,0.11614692096608527,0.932348367029549
5,0.08850457372589456,0.9450492483151892
6,0.07917989249267186,0.9613789528252981
7,0.04937900264779251,0.9507516848107828
8,0.057980205339532145,0.9548989113530326
9,0.07446142652337785,0.9548989113530326
10,0.03182519796888768,0.9590461378952825
11,0.06752917721217586,0.9663037843442198
12,0.09430372404929722,0.9652669777086573
13,0.02167355068647527,0.9777086573354069
14,0.0481408309946954,0.973561430793157
15,0.019645667729913895,0.9795230689476413
16,0.018868589927100724,0.9655261793675479
17,0.02682901634706136,0.9709694142042509
18,0.022208695825735265,0.9523068947641264
19,0.03277983675230437,0.9694142042509072
20,0.08266199529288544,0.9681181959564541
21,0.021006642082959975,0.9725246241575947
22,0.06540972903545665,0.9707102125453603
23,0.01786704267684767,0.9663037843442198
24,0.06689557112341482,0.9758942457231726
25,0.043450176323861146,0.9771902540176257
26,0.007618747943245327,0.9841886988076723
27,0.030954933629518327,0.9761534473820632
28,0.007017102027072284,0.9774494556765163
29,0.025793474590601034,0.9730430274753759
30,0.025846891478747743,0.9745982374287195
